2026-02-24 23:48:52.482564 1 {'chunk_seconds': 14, 'num_freqs': 15, 'num_estimators': 32, 'max_depth': 128, 'max_features': 0.379198033557526, 'overlap': 0.5532120354650272, 'max_lag': 5} 0.6933505713552778
2026-02-25 00:01:12.923907 2 {'chunk_seconds': 14, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 8, 'max_features': 0.3056305129801477, 'overlap': 0.4638478933584124, 'max_lag': 14} 0.6739771862681828
2026-02-25 00:14:33.429806 3 {'chunk_seconds': 13, 'num_freqs': 19, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.47018456282906385, 'overlap': 0.424656156298055, 'max_lag': 3} 0.7054815831117528
2026-02-25 00:25:33.138460 4 {'chunk_seconds': 8, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 64, 'max_features': 0.7561174958193707, 'overlap': 0.7814877205259152, 'max_lag': 11} 0.6759373737371653
2026-02-25 00:57:29.423838 5 {'chunk_seconds': 15, 'num_freqs': 15, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.3969941963063133, 'overlap': 0.35698612889052106, 'max_lag': 10} 0.7135593831786711
2026-02-25 01:15:14.736510 6 {'chunk_seconds': 10, 'num_freqs': 12, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.5699159633621795, 'overlap': 0.3998327410338386, 'max_lag': 4} 0.7023895682658092
2026-02-25 01:27:19.040700 7 {'chunk_seconds': 7, 'num_freqs': 3, 'num_estimators': 64, 'max_depth': 4, 'max_features': 0.8966993465802551, 'overlap': 0.4686940288294897, 'max_lag': 14} 0.5388075206629211
2026-02-25 01:45:50.766706 8 {'chunk_seconds': 5, 'num_freqs': 16, 'num_estimators': 8, 'max_depth': 256, 'max_features': 0.563441798304401, 'overlap': 0.5922668428932871, 'max_lag': 11} 0.6646098099070067
2026-02-25 02:07:48.490805 9 {'chunk_seconds': 3, 'num_freqs': 16, 'num_estimators': 64, 'max_depth': 8, 'max_features': 0.9356223483469641, 'overlap': 0.58874040889213, 'max_lag': 3} 0.5874079654532327
2026-02-25 03:04:34.773155 10 {'chunk_seconds': 15, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 32, 'max_features': 0.7340993776139193, 'overlap': 0.3331713924315798, 'max_lag': 8} 0.7159846912493878
