,resistance,voltage,current,time,pre_rect,post_rect,labels
21392,6,250,DC,213.92000000000002,0.40283203125,7.857666015625,L
21393,6,250,DC,213.93,0.42724609375,7.860107421875,L
21394,6,250,DC,213.94,0.44921875,7.860107421875,L
21395,6,250,DC,213.95000000000002,0.4638671875,7.861328125,L
21396,6,250,DC,213.96,0.465087890625,7.862548828125,L
21397,6,250,DC,213.97,0.447998046875,7.862548828125,L
21398,6,250,DC,213.98000000000002,0.42724609375,7.862548828125,L
21399,6,250,DC,213.99,0.401611328125,7.86376953125,L
21400,6,250,DC,214.0,0.391845703125,7.86376953125,L
21401,6,250,DC,214.01,0.396728515625,7.86376953125,L
21402,6,250,DC,214.02,0.418701171875,7.8662109375,L
21403,6,250,DC,214.03,0.443115234375,7.8662109375,L
21404,6,250,DC,214.04,0.462646484375,7.8662109375,L
21405,6,250,DC,214.05,0.46875,7.864990234375,L
21406,6,250,DC,214.06,0.46142578125,7.864990234375,L
21407,6,250,DC,214.07,0.440673828125,7.861328125,L
21408,6,250,DC,214.08,0.416259765625,7.862548828125,L
21409,6,250,DC,214.09,0.394287109375,7.862548828125,L
21410,6,250,DC,214.1,0.390625,7.862548828125,L
21411,6,250,DC,214.11,0.400390625,7.862548828125,L
21412,6,250,DC,214.12,0.4248046875,7.862548828125,L
21413,6,250,DC,214.13,0.44921875,7.86376953125,L
21414,6,250,DC,214.14000000000001,0.462646484375,7.862548828125,L
21415,6,250,DC,214.15,0.4638671875,7.862548828125,L
21416,6,250,DC,214.16,0.45166015625,7.861328125,L
21417,6,250,DC,214.17000000000002,0.428466796875,7.860107421875,L
21418,6,250,DC,214.18,0.401611328125,7.860107421875,L
21419,6,250,DC,214.19,0.384521484375,7.85888671875,L
21420,6,250,DC,214.20000000000002,0.384521484375,7.8564453125,L
21421,6,250,DC,214.21,0.401611328125,7.857666015625,L
21422,6,250,DC,214.22,0.42724609375,7.857666015625,L
21423,6,250,DC,214.23000000000002,0.450439453125,7.860107421875,L
21424,6,250,DC,214.24,0.46630859375,7.861328125,L
21425,6,250,DC,214.25,0.46142578125,7.860107421875,L
21426,6,250,DC,214.26,0.44677734375,7.861328125,L
21427,6,250,DC,214.27,0.423583984375,7.86376953125,L
21428,6,250,DC,214.28,0.400390625,7.864990234375,L
21429,6,250,DC,214.29,0.390625,7.86376953125,L
21430,6,250,DC,214.3,0.39794921875,7.8662109375,L
21431,6,250,DC,214.31,0.419921875,7.86376953125,L
21432,6,250,DC,214.32,0.443115234375,7.864990234375,L
21433,6,250,DC,214.33,0.462646484375,7.862548828125,L
21434,6,250,DC,214.34,0.46875,7.862548828125,L
21435,6,250,DC,214.35,0.45654296875,7.86376953125,L
21436,6,250,DC,214.36,0.43701171875,7.86376953125,L
21437,6,250,DC,214.37,0.411376953125,7.86376953125,L
21438,6,250,DC,214.38,0.396728515625,7.864990234375,L
21439,6,250,DC,214.39000000000001,0.390625,7.862548828125,L
21440,6,250,DC,214.4,0.406494140625,7.862548828125,L
21441,6,250,DC,214.41,0.428466796875,7.862548828125,L
21442,6,250,DC,214.42000000000002,0.452880859375,7.864990234375,L
21443,6,250,DC,214.43,0.467529296875,7.86376953125,L
21444,6,250,DC,214.44,0.46630859375,7.864990234375,L
21445,6,250,DC,214.45000000000002,0.45166015625,7.864990234375,L
21446,6,250,DC,214.46,0.42724609375,7.86376953125,L
21447,6,250,DC,214.47,0.40283203125,7.862548828125,L
21448,6,250,DC,214.48000000000002,0.391845703125,7.862548828125,L
21449,6,250,DC,214.49,0.396728515625,7.86376953125,L
21450,6,250,DC,214.5,0.41259765625,7.86376953125,L
21451,6,250,DC,214.51,0.43701171875,7.864990234375,L
21452,6,250,DC,214.52,0.45654296875,7.86376953125,L
21453,6,250,DC,214.53,0.46630859375,7.862548828125,L
21454,6,250,DC,214.54,0.4638671875,7.862548828125,L
21455,6,250,DC,214.55,0.443115234375,7.862548828125,L
21456,6,250,DC,214.56,0.421142578125,7.864990234375,L
21457,6,250,DC,214.57,0.399169921875,7.864990234375,L
21458,6,250,DC,214.58,0.389404296875,7.862548828125,L
21459,6,250,DC,214.59,0.399169921875,7.861328125,L
21460,6,250,DC,214.6,0.423583984375,7.86376953125,L
21461,6,250,DC,214.61,0.447998046875,7.861328125,L
21462,6,250,DC,214.62,0.46875,7.86376953125,L
21463,6,250,DC,214.63,0.472412109375,7.8662109375,L
21464,6,250,DC,214.64000000000001,0.462646484375,7.867431640625,L
21465,6,250,DC,214.65,0.440673828125,7.86865234375,L
21466,6,250,DC,214.66,0.418701171875,7.867431640625,L
21467,6,250,DC,214.67000000000002,0.4052734375,7.869873046875,L
21468,6,250,DC,214.68,0.404052734375,7.872314453125,L
21469,6,250,DC,214.69,0.41748046875,7.872314453125,L
21470,6,250,DC,214.70000000000002,0.440673828125,7.87353515625,L
