2025-11-14 03:45:23.684170 24 {'augment_factor': 1, 'chunk_seconds': 5, 'num_freqs': 8, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 10, 'subwindow_freq': 5, 'use_window_slope': False, 'use_subwindow_slope': True} 0.43495217091404353
2025-11-14 03:49:15.428059 25 {'augment_factor': 1, 'chunk_seconds': 5, 'num_freqs': 3, 'num_estimators': 64, 'max_depth': 128, 'window_seconds': 8, 'num_subwindows': 10, 'subwindow_freq': 3, 'use_window_slope': False, 'use_subwindow_slope': True} 0.44905039586722945
2025-11-14 03:52:41.459314 26 {'augment_factor': 1, 'chunk_seconds': 7, 'num_freqs': 9, 'num_estimators': 256, 'max_depth': 256, 'window_seconds': 9, 'num_subwindows': 14, 'subwindow_freq': 4, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4224938226475423
2025-11-14 03:56:18.935201 27 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 11, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 10, 'num_subwindows': 15, 'subwindow_freq': 1, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4472022138785617
2025-11-14 04:21:44.334494 28 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 6, 'num_subwindows': 5, 'subwindow_freq': 9, 'use_window_slope': False, 'use_subwindow_slope': True} 0.45929377235108015
2025-11-14 04:25:30.630080 29 {'augment_factor': 2, 'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 256, 'max_depth': 8, 'window_seconds': 6, 'num_subwindows': 2, 'subwindow_freq': 13, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4266058831830403
2025-11-14 04:27:36.419658 30 {'augment_factor': 1, 'chunk_seconds': 4, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 16, 'window_seconds': 6, 'num_subwindows': 5, 'subwindow_freq': 9, 'use_window_slope': False, 'use_subwindow_slope': True} 0.44295206340295934
2025-11-14 04:30:07.986281 31 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 7, 'num_subwindows': 6, 'subwindow_freq': 15, 'use_window_slope': False, 'use_subwindow_slope': True} 0.47094541240806437
2025-11-14 04:34:35.970238 32 {'augment_factor': 1, 'chunk_seconds': 5, 'num_freqs': 8, 'num_estimators': 256, 'max_depth': 16, 'window_seconds': 5, 'num_subwindows': 6, 'subwindow_freq': 16, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4171464168867624
2025-11-14 04:37:21.871419 33 {'augment_factor': 1, 'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 256, 'window_seconds': 5, 'num_subwindows': 6, 'subwindow_freq': 15, 'use_window_slope': False, 'use_subwindow_slope': True} 0.4198303879730832
