2025-11-15 00:04:08.130794 25 {'augment_factor': 8, 'chunk_seconds': 0.93459422054601, 'num_freqs': 9, 'num_estimators': 435, 'learning_rate': 0.024874376265682955, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 10, 'subsample': 0.971306956291487, 'window_seconds': 5} 0.4197241619664404
2025-11-15 00:19:34.909782 26 {'augment_factor': 2, 'chunk_seconds': 1.5063395646221238, 'num_freqs': 4, 'num_estimators': 282, 'learning_rate': 0.04216396300718416, 'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 9, 'subsample': 0.8186631344787516, 'window_seconds': 4} 0.40672750801341867
2025-11-15 00:25:46.164783 27 {'augment_factor': 1, 'chunk_seconds': 0.717112483732258, 'num_freqs': 13, 'num_estimators': 399, 'learning_rate': 0.08937146100207562, 'max_depth': 5, 'min_samples_split': 14, 'min_samples_leaf': 6, 'subsample': 0.9223201292687442, 'window_seconds': 5} 0.4185070685495828
2025-11-15 00:57:40.348517 28 {'augment_factor': 8, 'chunk_seconds': 1.5467355488157113, 'num_freqs': 9, 'num_estimators': 337, 'learning_rate': 0.05431819397468125, 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 9, 'subsample': 0.892519220135197, 'window_seconds': 3} 0.4164271637291676
2025-11-15 01:04:34.591551 29 {'augment_factor': 4, 'chunk_seconds': 0.4358784116495834, 'num_freqs': 7, 'num_estimators': 459, 'learning_rate': 0.01551540081022649, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 7, 'subsample': 0.8008941452066684, 'window_seconds': 2} 0.4047537085000439
2025-11-15 01:39:02.545638 30 {'augment_factor': 2, 'chunk_seconds': 1.2094472799834277, 'num_freqs': 10, 'num_estimators': 383, 'learning_rate': 0.05623482223365816, 'max_depth': 3, 'min_samples_split': 13, 'min_samples_leaf': 8, 'subsample': 0.761588491732325, 'window_seconds': 5} 0.42218569147214713
2025-11-15 01:48:07.670914 31 {'augment_factor': 8, 'chunk_seconds': 1.0781356474778276, 'num_freqs': 11, 'num_estimators': 409, 'learning_rate': 0.04087214464269304, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 7, 'subsample': 0.920509340798372, 'window_seconds': 5} 0.42064190671844104
2025-11-15 02:04:44.480074 32 {'augment_factor': 8, 'chunk_seconds': 0.873690970063481, 'num_freqs': 12, 'num_estimators': 366, 'learning_rate': 0.03946782498671642, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 6, 'subsample': 0.8682930793521803, 'window_seconds': 5} 0.42141068044657876
2025-11-15 02:22:51.220063 33 {'augment_factor': 8, 'chunk_seconds': 1.1041490388014572, 'num_freqs': 7, 'num_estimators': 413, 'learning_rate': 0.05150377674185704, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 7, 'subsample': 0.9723422479827617, 'window_seconds': 5} 0.417048832110027
2025-11-15 02:40:46.932411 34 {'augment_factor': 8, 'chunk_seconds': 0.7235887281914164, 'num_freqs': 16, 'num_estimators': 325, 'learning_rate': 0.027832507522383195, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 8, 'subsample': 0.7245312097915295, 'window_seconds': 5} 0.42609469038693987
