2025-10-31 05:56:17.962588 30 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.08001459346569746, 'max_depth': 6, 'min_samples_split': 13, 'min_samples_leaf': 5, 'subsample': 0.8649443122529635, 'window_seconds': 4} 0.42391665623224256
2025-10-31 06:03:15.179550 31 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.08860080346302121, 'max_depth': 6, 'min_samples_split': 13, 'min_samples_leaf': 5, 'subsample': 0.8548820066461263, 'window_seconds': 4} 0.41725651045604045
2025-10-31 06:10:08.132158 32 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.040550679780163586, 'max_depth': 7, 'min_samples_split': 15, 'min_samples_leaf': 7, 'subsample': 0.8787420636495491, 'window_seconds': 4} 0.417439980921481
2025-10-31 06:18:12.201546 33 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 100, 'learning_rate': 0.05772847233171629, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 6, 'subsample': 0.8178975392514526, 'window_seconds': 5} 0.4110611130637328
2025-10-31 06:24:46.869916 34 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.12914337075750484, 'max_depth': 5, 'min_samples_split': 11, 'min_samples_leaf': 8, 'subsample': 0.891609967156645, 'window_seconds': 4} 0.40889701414345847
2025-10-31 06:31:02.632775 35 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.024134069647289317, 'max_depth': 7, 'min_samples_split': 13, 'min_samples_leaf': 9, 'subsample': 0.8241931304933309, 'window_seconds': 3} 0.4087218544012601
2025-10-31 06:38:38.259710 36 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 200, 'learning_rate': 0.08041092254410777, 'max_depth': 5, 'min_samples_split': 15, 'min_samples_leaf': 5, 'subsample': 0.8623735099982092, 'window_seconds': 2} 0.3978663339593778
2025-10-31 06:48:11.771124 37 {'augment_factor': 4, 'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 100, 'learning_rate': 0.01865864490597384, 'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 7, 'subsample': 0.793811416498533, 'window_seconds': 5} 0.39770763927410774
2025-10-31 06:50:08.450749 38 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 50, 'learning_rate': 0.06424076711990998, 'max_depth': 7, 'min_samples_split': 17, 'min_samples_leaf': 9, 'subsample': 0.9153483398976744, 'window_seconds': 4} 0.40961763860079436
2025-10-31 06:54:59.073013 39 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 100, 'learning_rate': 0.03051609150691332, 'max_depth': 6, 'min_samples_split': 12, 'min_samples_leaf': 8, 'subsample': 0.9532090481001705, 'window_seconds': 2} 0.3923027109359849
